Station,Heure,Jour,Meteo,Affluence
Auber / Opéra,20,Dimanche,Soleil,200
Aéroport d'Orly,23,Mercredi,Nuageux,394
Vincennes,13,Samedi,Pluie,180
Val de Fontenay,15,Lundi,Pluie,276
Nation,16,Lundi,Nuageux,253
Versailles-Chantiers,12,Lundi,Soleil,143
Auber / Opéra,18,Lundi,Nuageux,1066
Aéroport CDG 2,21,Jeudi,Nuageux,264
Créteil-Préfecture,19,Lundi,Pluie,843
Val de Fontenay,19,Jeudi,Pluie,1073
Val de Fontenay,16,Samedi,Soleil,53
Boulogne - Pont de Sèvres,13,Mercredi,Soleil,53
Versailles-Chantiers,16,Mercredi,Nuageux,161
Gare de Lyon,23,Jeudi,Nuageux,409
Nation,16,Mercredi,Soleil,276
Boulogne - Pont de Sèvres,15,Vendredi,Soleil,167
La Défense,10,Mardi,Pluie,327
Saint-Denis (Stade),12,Vendredi,Pluie,126
Versailles-Chantiers,15,Jeudi,Nuageux,186
Gare du Nord,7,Mardi,Soleil,559
Boulogne - Pont de Sèvres,20,Samedi,Pluie,219
Neuilly-Plaisance,10,Jeudi,Soleil,11
Saint-Lazare,13,Lundi,Nuageux,141
Gare du Nord,13,Mardi,Nuageux,325
Versailles-Chantiers,10,Jeudi,Pluie,89
Châtelet-Les Halles,9,Lundi,Soleil,618
Neuilly-Plaisance,5,Mercredi,Soleil,79
Saint-Denis (Stade),7,Jeudi,Pluie,326
Neuilly-Plaisance,7,Samedi,Pluie,199
Nanterre-Préfecture,16,Mardi,Nuageux,120
Massy-Palaiseau,8,Mercredi,Nuageux,315
Bercy,20,Jeudi,Soleil,221
Cergy-Préfecture,15,Jeudi,Soleil,209
Vincennes,12,Mercredi,Pluie,169
Vincennes,13,Samedi,Nuageux,103
Aéroport CDG 2,18,Dimanche,Nuageux,691
Neuilly-Plaisance,19,Dimanche,Pluie,474
Créteil-Préfecture,23,Samedi,Nuageux,221
Aéroport d'Orly,13,Lundi,Soleil,169
Nanterre-Préfecture,21,Mardi,Nuageux,281
La Défense,13,Samedi,Soleil,140
Montparnasse,7,Lundi,Soleil,322
Aéroport CDG 2,20,Dimanche,Nuageux,146
Auber / Opéra,17,Mardi,Pluie,1297
Versailles-Chantiers,21,Dimanche,Soleil,108
République,8,Mercredi,Soleil,380
Auber / Opéra,13,Lundi,Soleil,248
Juvisy,13,Samedi,Soleil,109
Gare de Lyon,22,Vendredi,Pluie,531
Nanterre-Préfecture,18,Vendredi,Pluie,854
Marne-la-Vallée (Chessy),7,Jeudi,Nuageux,261
Juvisy,8,Lundi,Soleil,352
République,5,Samedi,Soleil,4
Versailles-Chantiers,22,Jeudi,Soleil,278
Gare du Nord,8,Samedi,Soleil,336
Aéroport d'Orly,14,Lundi,Pluie,260
Vincennes,8,Mardi,Soleil,306
Auber / Opéra,21,Mardi,Soleil,332
Neuilly-Plaisance,12,Mercredi,Nuageux,110
Nation,23,Dimanche,Pluie,212
Vincennes,13,Vendredi,Nuageux,179
La Défense,20,Vendredi,Pluie,555
Marne-la-Vallée (Chessy),19,Mercredi,Nuageux,876
Massy-Palaiseau,20,Mercredi,Soleil,286
Gare de Lyon,16,Mercredi,Pluie,389
Juvisy,22,Samedi,Pluie,177
Nation,11,Mercredi,Pluie,259
Gare de Lyon,20,Lundi,Pluie,573
Gare du Nord,23,Mercredi,Soleil,454
Saint-Lazare,10,Jeudi,Soleil,195
Saint-Denis (Stade),10,Dimanche,Soleil,17
Bercy,10,Mercredi,Nuageux,65
Gare de Lyon,19,Lundi,Soleil,1285
Saint-Denis (Stade),6,Vendredi,Pluie,63
Juvisy,13,Vendredi,Soleil,64
Neuilly-Plaisance,12,Vendredi,Soleil,176
Gare du Nord,11,Dimanche,Nuageux,150
Bercy,20,Lundi,Pluie,278
Gare de Lyon,19,Dimanche,Nuageux,776
Marne-la-Vallée (Chessy),13,Mercredi,Soleil,222
Cergy-Préfecture,19,Mardi,Nuageux,767
Vincennes,6,Vendredi,Nuageux,53
Nation,18,Vendredi,Pluie,1033
Marne-la-Vallée (Chessy),15,Mardi,Pluie,238
Créteil-Préfecture,7,Mercredi,Pluie,176
Nanterre-Préfecture,6,Vendredi,Pluie,112
Nation,22,Mercredi,Nuageux,296
Versailles-Chantiers,18,Jeudi,Soleil,746
Cergy-Préfecture,9,Mardi,Nuageux,268
Noisy-le-Grand,16,Lundi,Pluie,206
Juvisy,18,Dimanche,Pluie,583
Vincennes,10,Mercredi,Pluie,107
Versailles-Chantiers,12,Mardi,Pluie,135
Boulogne - Pont de Sèvres,11,Dimanche,Nuageux,27
Nanterre-Préfecture,11,Mardi,Nuageux,139
Noisy-le-Grand,16,Mardi,Soleil,270
République,11,Samedi,Pluie,77
Vincennes,16,Lundi,Nuageux,162
Noisy-le-Grand,20,Samedi,Soleil,12
Châtelet-Les Halles,11,Vendredi,Soleil,224
Nanterre-Préfecture,12,Dimanche,Soleil,79
Auber / Opéra,5,Jeudi,Soleil,107
République,17,Vendredi,Pluie,892
Boulogne - Pont de Sèvres,23,Mercredi,Soleil,300
Châtelet-Les Halles,5,Mardi,Pluie,109
Neuilly-Plaisance,22,Vendredi,Soleil,249
Nation,11,Lundi,Soleil,53
Boulogne - Pont de Sèvres,21,Lundi,Nuageux,135
Val de Fontenay,19,Samedi,Pluie,709
Aéroport CDG 2,23,Samedi,Pluie,222
Massy-Palaiseau,8,Jeudi,Soleil,281
Nation,21,Vendredi,Pluie,443
La Défense,11,Samedi,Nuageux,108
La Défense,20,Samedi,Soleil,260
Châtelet-Les Halles,21,Lundi,Nuageux,472
Montparnasse,19,Samedi,Soleil,631
Bercy,13,Dimanche,Pluie,25
Auber / Opéra,17,Lundi,Soleil,973
